Total Score,1-A,1-B,2-A-1,2-A-2,2-B,2-C-1,2-C-2,2-C-3,3-A,3-B-1,3-B-2,3-B-3,4-A-1,4-A-2,4-B,4-C-1,4-C-2,5-A,5-B
60,4,4,2,2,3,2,2,3,3,4,1,2,2,2,3,4,3,7,7
59.75,4,4,2,2,3,2,2,3,3,4,1,2,2,1.75,3,4,3,7,7
59.75,4,4,2,2,3,2,2,3,3,4,1,2,2,1.75,3,4,3,7,7
59.75,4,4,2,2,3,2,2,3,3,4,1,2,2,1.75,3,4,3,7,7
59.25,4,4,2,2,3,2,2,3,3,4,1,2,2,1.5,3,4,3,6.75,7
59,4,4,2,2,2.5,2,2,3,3,4,1,2,2,1.75,3,4,3,6.75,7
58.5,4,4,2,2,3,2,2,3,3,4,1,2,2,1.5,3,3.75,2.75,6.75,6.75
58.5,4,4,2,2,3,2,2,3,3,4,1,2,2,2,3,4,3,5.5,7
58.5,4,4,2,2,3,2,2,3,3,4,1,2,2,2,3,4,3,5.5,7
58.5,4,4,2,2,3,2,2,3,3,4,1,2,2,2,3,4,3,5.5,7
58.5,4,4,2,2,3,2,2,3,3,4,1,2,2,2,3,4,3,5.5,7
58,4,4,2,2,2.5,2,2,3,3,4,1,2,2,2,3,4,3,5.5,7
57.75,4,4,2,2,3,2,2,3,3,3.75,1,2,2,0,3,4,3,7,7
57.5,4,4,2,2,3,2,2,3,3,4,1,2,2,2,1.5,4,3,7,6
57,2.25,4,2,2,3,2,2,3,3,4,1,2,2,1.75,3,4,3,6,7
56.75,4,4,2,2,3,2,2,3,3,2.5,1,2,2,2,3,4,3,5.5,6.75
56.5,4,1,2,2,3,2,1.5,3,3,4,1,2,2,2,3,4,3,7,7
56.5,2.25,4,2,2,3,2,2,3,3,4,1,2,2,1.75,3,4,3,5.5,7
56.5,4,4,2,2,2.5,2,2,3,3,4,1,2,2,2,3,4,3,7,4
55.75,4,2,2,2,3,1.5,2,3,3,4,1,2,2,2,3,4,3,5.5,6.75
55.75,4,4,2,2,3,2,2,3,3,0.25,1,2,2,1.5,3,4,3,7,7
55.75,4,1,2,2,3,2,2,2.5,3,4,1,2,2,1.5,3,4,3,6.75,7
55.25,4,1,2,2,3,2,2,3,3,4,1,2,2,1.75,3,4,3,5.5,7
55.25,4,1,2,2,3,2,2,3,3,4,1,2,2,2,3,4,3,5.5,6.75
55.25,4,1,2,2,3,2,2,3,3,4,1,2,2,2,3,3.75,2.75,6,6.75
54.75,4,1,2,2,3,2,2,3,3,4,1,2,2,0,3,4,3,6.75,7
54.25,4,1,2,2,3,2,2,3,3,3,1,2,2,1.75,3,4,3,5.5,7
53.5,4,4,2,2,3,2,2,3,3,4,1,2,2,1.75,3,4,3,6.75,1
53.5,4,1,2,2,3,2,2,3,3,4,1,2,2,2,3,4,3,6,4.5
53.25,0.25,1,2,2,3,2,2,3,3,4,1,2,2,2,3,4,3,7,7
53,4,1,2,2,3,2,2,1.25,3,4,1,2,2,1.25,3,4,3,5.5,7
53,4,4,2,2,3,2,2,3,3,4,1,2,2,2,3,1.5,0,7,5.5
52.5,4,1,2,2,3,2,1.5,3,3,3.5,1,2,2,1.75,1.5,4,3,5.5,6.75
52.5,4,1,2,2,3,2,2,3,3,4,1,2,2,1.75,3,4,3,4,5.75
52,4,2,2,2,3,2,2,3,3,4,1,2,2,2,3,1.5,1,7,5.5
51.75,4,1,2,2,3,2,2,1.25,3,4,1,2,2,1.5,3,4,3,5.5,5.5
51.75,4,1,2,2,3,2,2,3,2.5,3,1,2,2,1.75,3,4,3,4.5,6
51.75,2.25,1,2,2,3,1.25,0.75,2.75,3,3.5,1,2,2,1.75,3,4,3,6.5,7
51.75,4,1,2,2,2.5,2,2,1.25,3,4,1,2,2,2,3,4,3,7,4
51.5,4,4,2,1.25,3,1.25,1.25,1,3,4,1,2,2,1.25,3,3.75,2.75,5.75,5.25
51.25,4,1,2,2,2.5,2,2,3,3,4,1,1.5,2,1.5,1.5,4,3,4.5,6.75
51,4,1,2,2,3,2,2,1.25,3,4,1,2,2,0,3,3.75,2.75,6.75,5.5
51,2.25,1,2,2,3,1.5,2,3,2,3.5,1,2,2,1.5,3,4,3,6.75,5.5
50.75,4,1,2,2,3,2,2,1.25,2,4,1,2,2,1.5,3,4,3,6,5
50.75,4,4,2,2,3,2,2,3,3,2.25,1,2,2,1.75,3,1.5,0,5.25,7
50.5,4,1,2,2,3,2,2,0.5,3,4,1,2,1,1.25,3,4,2.75,5.5,6.5
50.25,4,0.25,2,2,3,2,2,2.25,3,4,1,2,2,1.75,3,4,3,4,5
49.75,4,1,2,2,3,2,2,3,3,4,1,2,2,2,3,1.5,0,5.5,6.75
49.5,4,1,2,2,3,2,1.5,2.5,3,4,1,2,2,2,3,1.5,1,6,6
49.25,2.25,1,2,2,3,2,1.5,2,3,4,1,2,2,2,3,4,3,5.25,4.25
49,2.25,2,2,2,3,2,2,2,3,4,1,2,2,2,3,1.5,1,7,5.25
48.75,4,1,2,2,3,2,2,3,3,2.5,1,2,2,1,3,1.5,0,7,6.75
48.75,4,4,2,1.25,3,2,2,1.25,3,4,1,2,2,2,3,4,3,3.5,1.75
48.25,2.25,2,2,2,3,2,2,3,3,3.5,1,2,2,2,3,4,3,1,5.5
46.5,4,1,2,2,3,2,2,1.5,3,3,1,2,1.5,1.5,3,1.5,1,4.5,7
46.25,4,1,2,2,3,2,2,3,3,0.75,1,2,2,2,1.5,4,3,1,7
45.75,4,1,2,2,3,2,2,3,3,4,1,2,2,0,3,1.5,1,3.5,5.75
44.5,4,1,2,2,3,2,2,1.25,3,4,1,2,2,2,3,4,3,1,2.25
44.5,4,1,2,2,3,2,2,2,3,3.5,1,1,2,1.75,3,4,3,2.5,1.75
43.75,4,1,2,2,3,2,1.5,1,3,4,1,2,2,2,3,1.5,1,1,6.75
42.5,4,1,2,2,3,2,1.25,1,3,4,1,2,2,1.5,3,1.5,1,1,6.25
42.25,2.25,1,2,2,3,2,2,1,3,4,1,2,2,1.75,3,1.5,0,7,1.75
39,2.25,1,1.25,1.25,3,1.25,0.75,1,3,4,1,2,1,0,0.25,4,2.75,5.5,3.75
22,2.25,0.25,0.25,0.25,0,2,2,1,3,0.75,1,1,2,1.25,1,1.5,0,1,1.5
21.75,4,0,0.25,0.25,0,1.5,2,3,3,0.75,1,0,0,1,0,0,0,5,0
15.5,0.25,1,0.25,0.25,0,0.5,0.75,0,3,0.25,0.25,0.25,2,1.25,3,1,0,0,1.5